"House Name","House Letter","Sample Number","Sample Date","Sample Time","Copper Result","Iron Result","Lead Result"
95,"aj","S05aj","2016-02-10","09:09",76.7,288,15.7
95,"aj","S06aj","2016-02-10","09:09",72.2,283,15.7
95,"aj","S07aj","2016-02-10","09:09",63.1,275,11.1
95,"aj","S08aj","2016-02-10","09:09",57.6,262,9.81
95,"aj","S09aj","2016-02-10","09:09",48.4,250,8.1
95,"aj","S10aj","2016-02-10","09:09",46.1,247,6.19
95,"aj","S11aj","2016-02-10","09:09",48,259,7.62
95,"aj","S12aj","2016-02-10","09:09",46,254,6.54
95,"aj","S13aj","2016-02-10","09:09",43.2,251,4.22
95,"aj","S14aj","2016-02-10","09:09",29.3,255,3.69
97,"p","DS03p","2016-02-03","09:23",11.1,80,0.558
97,"p","S01p","2016-02-03","09:15",99,80,1.2
97,"p","S02p","2016-02-03","09:15",48.9,80,1.23
97,"p","S03p","2016-02-03","09:15",41.7,80,1.83
97,"p","S04p","2016-02-03","09:15",41.1,80,2.17
97,"p","S05p","2016-02-03","09:15",15,80,1.48
97,"p","S06p","2016-02-03","09:15",6.73,80,1.49
97,"p","S07p","2016-02-03","09:15",5.94,80,1.49
97,"p","S08p","2016-02-03","09:15",5.66,80,1.61
97,"p","S09p","2016-02-03","09:15",5.45,80,4.24
97,"p","S10p","2016-02-03","09:15",5.08,80,6.5
97,"p","S11p","2016-02-03","09:15",4.94,80,3.63
97,"p","S12p","2016-02-03","09:15",4.27,80,1.14
97,"p","S13p","2016-02-03","09:15",4.19,80,0.691
97,"p","S14p","2016-02-03","09:18",4.38,80,0.7
99,"bd","DS03bd","2016-02-12","10:51",12.2,94.9,0.5
99,"bd","S01bd","2016-02-12","10:41",82.9,110,1.05
99,"bd","S02bd","2016-02-12","10:41",60.1,115,0.604
99,"bd","S03bd","2016-02-12","10:41",59.9,105,0.582
99,"bd","S04bd","2016-02-12","10:41",101,96.2,0.5
99,"bd","S05bd","2016-02-12","10:41",97.4,97.2,0.5
99,"bd","S06bd","2016-02-12","10:41",64.5,98.9,0.5
99,"bd","S07bd","2016-02-12","10:41",50.6,94.5,0.5
99,"bd","S08bd","2016-02-12","10:41",34.4,95.8,0.5
99,"bd","S09bd","2016-02-12","10:41",36,93.8,0.5
99,"bd","S10bd","2016-02-12","10:41",33.9,130,0.5
99,"bd","S11bd","2016-02-12","10:41",23.1,97.7,0.5
99,"bd","S12bd","2016-02-12","10:41",16.4,93.2,0.5
99,"bd","S13bd","2016-02-12","10:41",15.3,86.6,0.5
99,"bd","S14bd","2016-02-12","10:41",13.6,95,0.5
105,"bc","DS03bc","2016-02-12","07:30",37.4,80,0.697
105,"bc","S01bc","2016-02-12","07:25",143,80,2.45
105,"bc","S02bc","2016-02-12","07:25",161,125,4.32
105,"bc","S03bc","2016-02-12","07:25",37,80,1.56
105,"bc","S04bc","2016-02-12","07:25",30.9,80,2.1
105,"bc","S05bc","2016-02-12","07:25",30.8,80,1.28
105,"bc","S06bc","2016-02-12","07:25",22.6,98.1,1.13
105,"bc","S07bc","2016-02-12","07:25",20.9,257,0.937
105,"bc","S08bc","2016-02-12","07:25",31.1,643,1.37
105,"bc","S09bc","2016-02-12","07:25",32.9,193,2.21
105,"bc","S10bc","2016-02-12","07:25",19.2,260,2.19
105,"bc","S11bc","2016-02-12","07:25",39.4,133,2.16
105,"bc","S12bc","2016-02-12","07:25",37.2,80,0.968
105,"bc","S13bc","2016-02-12","07:25",34.9,80,0.647
105,"bc","S14bc","2016-02-12","07:25",35.8,80,0.5
107,"ag","DS03ag","2016-02-09","07:15",40,240,5.1
