,House Name,House Letter,Sample Number,Sample Date,Sample Time,Copper Result,Iron Result,Lead Result,Chloride Result
180,54,ai,DS01ai,2016-02-09,14:55,3.5,1100.0,0.72,9800.0
181,54,ai,S01ai,2016-02-09,14:49,72.0,200.0,8.3,9800.0
182,54,ai,S02ai,2016-02-09,14:49,48.0,260.0,6.5,9800.0
183,54,ai,S03ai,2016-02-09,14:49,19.0,180.0,5.1,9800.0
184,54,ai,S04ai,2016-02-09,14:49,25.0,190.0,5.6,9800.0
185,54,ai,S05ai,2016-02-09,14:49,27.0,150.0,4.6,9800.0
186,54,ai,S06ai,2016-02-09,14:49,27.0,150.0,4.3,9800.0
187,54,ai,S07ai,2016-02-09,14:49,26.0,180.0,4.7,9800.0
188,54,ai,S08ai,2016-02-09,14:49,25.0,220.0,5.1,9800.0
189,54,ai,S09ai,2016-02-09,14:49,23.0,640.0,15.0,9800.0
190,54,ai,S10ai,2016-02-09,14:49,20.0,3600.0,56.0,9800.0
191,54,ai,S11ai,2016-02-09,14:49,18.0,9100.0,79.0,9800.0
192,54,ai,S12ai,2016-02-09,14:49,14.0,6000.0,37.0,9800.0
193,54,ai,S13ai,2016-02-09,14:49,11.0,1400.0,4.8,9800.0
194,54,ai,S14ai,2016-02-09,14:49,10.0,990.0,1.5,9800.0
195,61,bf,DS03bf,2016-02-13,09:15,3.1,80.0,1.69,9300.0
196,61,bf,S010bf,2016-02-13,09:07,5.25,80.0,6.44,9300.0
197,61,bf,S011bf,2016-02-13,09:07,5.05,106.0,6.89,9300.0
198,61,bf,S012bf,2016-02-13,09:07,4.63,102.0,5.36,9300.0
199,61,bf,S013bf,2016-02-13,09:07,4.34,80.0,2.37,9300.0
200,61,bf,S014bf,2016-02-13,09:07,4.34,80.0,2.15,9300.0
201,61,bf,S01bf,2016-02-13,09:07,114.0,80.0,4.24,9300.0
202,61,bf,S02bf,2016-02-13,09:07,210.0,80.0,7.1,9300.0
203,61,bf,S03bf,2016-02-13,09:07,70.2,80.0,6.74,9300.0
204,61,bf,S04bf,2016-02-13,09:07,22.4,80.0,4.7,9300.0
205,61,bf,S05bf,2016-02-13,09:07,14.9,80.0,5.3,9300.0
206,61,bf,S06bf,2016-02-13,09:07,9.49,80.0,3.28,9300.0
207,61,bf,S07bf,2016-02-13,09:07,7.51,80.0,3.58,9300.0
208,61,bf,S08bf,2016-02-13,09:07,6.25,80.0,4.15,9300.0
209,61,bf,S09bf,2016-02-13,09:07,5.8,80.0,4.78,9300.0
210,62,ah,DS03ah,2016-02-09,10:24,7.7,570.0,1.6,10300.0
211,62,ah,S01ah,2016-02-09,10:15,240.0,140.0,72.0,10300.0
212,62,ah,S02ah,2016-02-09,10:15,220.0,100.0,8.0,10300.0
213,62,ah,S03ah,2016-02-09,10:15,200.0,180.0,16.0,10300.0
214,62,ah,S04ah,2016-02-09,10:15,140.0,150.0,8.0,10300.0
215,62,ah,S05ah,2016-02-09,10:15,72.0,110.0,5.2,10300.0
216,62,ah,S06ah,2016-02-09,10:15,63.0,100.0,5.3,10300.0
217,62,ah,S07ah,2016-02-09,10:15,49.0,100.0,4.9,10300.0
218,62,ah,S08ah,2016-02-09,10:15,23.0,100.0,4.4,10300.0
219,62,ah,S09ah,2016-02-09,10:15,15.0,100.0,3.8,10300.0
220,62,ah,S10ah,2016-02-09,10:15,15.0,100.0,5.2,10300.0
221,62,ah,S11ah,2016-02-09,10:15,15.0,100.0,11.0,10300.0
222,62,ah,S12ah,2016-02-09,10:15,11.0,100.0,14.0,10300.0
223,62,ah,S13ah,2016-02-09,10:15,10.0,100.0,15.0,10300.0
224,62,ah,S14ah,2016-02-09,10:15,10.0,220.0,10.0,10300.0
225,63,cc,DS03cc,2016-02-18,07:18,2.0,80.0,1.0,9580.0
226,63,cc,S01cc,2016-02-18,07:13,162.0,80.0,5.61,9580.0
227,63,cc,S02cc,2016-02-18,07:13,104.0,92.0,14.0,9580.0
228,63,cc,S03cc,2016-02-18,07:13,34.0,304.0,20.6,9580.0
229,63,cc,S04cc,2016-02-18,07:13,31.2,320.0,25.1,9580.0
230,63,cc,S05cc,2016-02-18,07:13,19.0,194.0,17.0,9580.0
231,63,cc,S06cc,2016-02-18,07:13,17.0,168.0,14.9,9580.0
232,63,cc,S07cc,2016-02-18,07:13,14.8,180.0,14.4,9580.0
233,63,cc,S08cc,2016-02-18,07:13,13.1,164.0,13.3,9580.0
234,63,cc,S09cc,2016-02-18,07:13,12.3,148.0,14.2,9580.0
235,63,cc,S10cc,2016-02-18,07:13,12.7,137.0,12.9,9580.0
236,63,cc,S11cc,2016-02-18,07:13,13.2,124.0,14.1,9580.0
237,63,cc,S12cc,2016-02-18,07:13,14.9,125.0,13.9,9580.0
238,63,cc,S13cc,2016-02-18,07:13,16.3,190.0,13.0,9580.0
239,63,cc,S14cc,2016-02-18,07:13,13.2,156.0,9.84,9580.0
240,74,b,DS03b,2016-01-28,15:45,8.42,80.0,0.5,8960.0
241,74,b,S01b,2016-01-28,15:33,190.0,80.0,1.41,8960.0
242,74,b,S02b,2016-01-28,15:33,493.0,80.0,0.923,8960.0
243,74,b,S03b,2016-01-28,15:33,310.0,80.0,1.47,8960.0
244,74,b,S04b,2016-01-28,15:33,222.0,80.0,1.97,8960.0
245,74,b,S05b,2016-01-28,15:33,165.0,81.1,2.68,8960.0
246,74,b,S06b,2016-01-28,15:33,45.0,181.0,1.69,8960.0
247,74,b,S07b,2016-01-28,15:33,17.7,150.0,0.964,8960.0
248,74,b,S08b,2016-01-28,15:33,16.2,251.0,1.04,8960.0
249,74,b,S09b,2016-01-28,15:33,17.8,189.0,2.39,8960.0
250,74,b,S10b,2016-01-28,15:33,25.3,94.6,7.1,8960.0
251,74,b,S11b,2016-01-28,15:33,16.0,80.0,4.7,8960.0
252,74,b,S12b,2016-01-28,15:33,12.8,80.0,1.08,8960.0
253,74,b,S13b,2016-01-28,15:33,11.8,80.0,0.514,8960.0
254,74,b,S14b,2016-01-28,15:33,10.8,80.0,0.5,8960.0
255,79,u,DS03u,2016-02-05,15:20,8.83,80.0,4.62,10200.0
256,79,u,S01u,2016-02-05,15:10,123.0,80.0,28.0,10200.0
257,79,u,S02u,2016-02-05,15:10,106.0,80.0,10.0,10200.0
258,79,u,S03u,2016-02-05,15:10,103.0,157.0,56.2,10200.0
259,79,u,S04u,2016-02-05,15:10,116.0,133.0,44.7,10200.0
260,79,u,S05u,2016-02-05,15:10,149.0,143.0,48.4,10200.0
261,79,u,S06u,2016-02-05,15:10,171.0,195.0,79.4,10200.0
262,79,u,S07u,2016-02-05,15:10,127.0,124.0,75.1,10200.0
263,79,u,S08u,2016-02-05,15:10,58.4,87.3,38.4,10200.0
264,79,u,S09u,2016-02-05,15:10,40.7,80.0,29.6,10200.0
265,79,u,S10u,2016-02-05,15:10,33.1,80.0,25.9,10200.0
266,79,u,S11u,2016-02-05,15:10,25.9,80.0,25.0,10200.0
267,79,u,S12u,2016-02-05,15:10,21.1,80.0,22.3,10200.0
268,79,u,S13u,2016-02-05,15:10,19.2,80.0,21.3,10200.0
269,79,u,S14u,2016-02-05,15:10,17.5,80.0,21.0,10200.0
270,80,f,DS03f,2016-01-30,10:34,106.0,80.0,3.0,8780.0
271,80,f,S01f,2016-01-30,10:12,134.0,111.0,12.4,8780.0
272,80,f,S02f,2016-01-30,10:12,119.0,80.0,7.85,8780.0
273,80,f,S03f,2016-01-30,10:12,87.2,385.0,17.3,8780.0
274,80,f,S04f,2016-01-30,10:12,58.1,152.0,12.6,8780.0
275,80,f,S05f,2016-01-30,10:12,44.0,111.0,10.4,8780.0
276,80,f,S06f,2016-01-30,10:12,39.6,81.8,8.89,8780.0
277,80,f,S07f,2016-01-30,10:12,57.9,80.0,8.41,8780.0
278,80,f,S08f,2016-01-30,10:12,36.2,80.0,8.25,8780.0
279,80,f,S09f,2016-01-30,10:12,42.9,80.0,8.1,8780.0
280,80,f,S10f,2016-01-30,10:12,47.4,80.0,8.12,8780.0
281,80,f,S11f,2016-01-30,10:12,39.8,80.0,7.87,8780.0
282,80,f,S12f,2016-01-30,10:12,43.5,80.0,8.09,8780.0
283,80,f,S13f,2016-01-30,10:12,50.2,80.0,9.36,8780.0
284,80,f,S14f,2016-01-30,10:21,52.1,80.0,9.62,8780.0
285,81,d,S01d,2016-01-28,18:35,47.2,80.0,1.19,9820.0
286,81,d,S02d,2016-01-28,18:35,56.4,80.0,11.0,9820.0
287,81,d,S03d,2016-01-28,18:35,39.7,80.0,5.77,9820.0
288,81,d,S04d,2016-01-28,18:35,26.9,80.0,4.78,9820.0
289,81,d,S05d,2016-01-28,18:35,16.0,80.0,4.0,9820.0
290,81,d,S06d,2016-01-28,18:35,12.8,80.0,2.45,9820.0
291,81,d,S07d,2016-01-28,18:35,11.6,80.0,1.81,9820.0
292,81,d,S08d,2016-01-28,18:35,10.1,80.0,1.71,9820.0
293,81,d,S09d,2016-01-28,18:35,10.5,80.0,1.74,9820.0
294,81,d,S10d,2016-01-28,18:35,12.8,149.0,1.54,9820.0
295,81,d,S11d,2016-01-28,18:35,22.3,571.0,1.76,9820.0
296,81,d,S12d,2016-01-28,18:35,32.6,1110.0,1.72,9820.0
297,81,d,S13d,2016-01-28,18:35,17.5,645.0,2.39,9820.0
298,81,d,S14d,2016-01-28,18:39,12.2,185.0,1.4,9820.0
299,81,d,DS03d,2016-01-28,18:45,6.01,80.0,0.692,9820.0
300,83,v,DS03v,2016-02-05,13:23,8.45,112.0,1.44,9380.0
301,83,v,S01v,2016-02-05,13:13,137.0,150.0,1.23,9380.0
302,83,v,S02v,2016-02-05,13:13,205.0,106.0,2.23,9380.0
303,83,v,S03v,2016-02-05,13:13,208.0,161.0,1.77,9380.0
304,83,v,S04v,2016-02-05,13:13,179.0,223.0,0.715,9380.0
305,83,v,S05v,2016-02-05,13:13,63.3,252.0,0.647,9380.0
306,83,v,S06v,2016-02-05,13:13,111.0,201.0,9.07,9380.0
307,83,v,S07v,2016-02-05,13:13,152.0,261.0,13.4,9380.0
308,83,v,S08v,2016-02-05,13:13,59.2,180.0,6.07,9380.0
309,83,v,S09v,2016-02-05,13:13,21.2,125.0,3.24,9380.0
310,83,v,S10v,2016-02-05,13:13,18.9,117.0,3.39,9380.0
311,83,v,S11v,2016-02-05,13:13,22.0,121.0,2.86,9380.0
312,83,v,S12v,2016-02-05,13:13,16.4,116.0,3.19,9380.0
